candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours,5,42,0,timepool_T150_aug,1.1536152362823486,1.0,-2.0416910648345947
ours,5,42,1,timepool_T150_aug,1.1223703622817993,1.0,-2.053182601928711
ours,5,42,2,timepool_T150_aug,1.1705468893051147,1.0,-1.9675034284591675
ours,5,42,3,timepool_T150_aug,1.2032535076141357,1.0,-2.019014358520508
ours,5,42,4,timepool_T150_aug,1.1887974739074707,1.0,-2.009953022003174
ours+2GMM,5,42,0,timepool_T150_aug,1.0447933128241549,0.6020280864861658,-2.1455584192894777
ours+2GMM,5,42,0,CQCC-GMM,0.4141639170380502,0.23864845554194092,-2.1455584192894777
ours+2GMM,5,42,0,LFCC-GMM,0.2764988664177207,0.15932345797189326,-2.1455584192894777
ours+2GMM,5,42,1,timepool_T150_aug,1.0252070543260154,0.5768066378720004,-2.1780677724532653
ours+2GMM,5,42,1,CQCC-GMM,0.44813012811926667,0.2521290030525141,-2.1780677724532653
ours+2GMM,5,42,1,LFCC-GMM,0.3040471037485947,0.17106435907548542,-2.1780677724532653
ours+2GMM,5,42,2,timepool_T150_aug,1.07059929821803,0.5821973796604976,-2.0880666028632002
ours+2GMM,5,42,2,CQCC-GMM,0.3759578039005111,0.20444777860223948,-2.0880666028632002
ours+2GMM,5,42,2,LFCC-GMM,0.39233694931525087,0.2133548417372629,-2.0880666028632002
ours+2GMM,5,42,3,timepool_T150_aug,1.1191203561772876,0.6103076259567768,-2.131305708294983
ours+2GMM,5,42,3,CQCC-GMM,0.4077070112540202,0.22234132079798893,-2.131305708294983
ours+2GMM,5,42,3,LFCC-GMM,0.30687142409673046,0.16735105324523428,-2.131305708294983
ours+2GMM,5,42,4,timepool_T150_aug,1.1127422060716372,0.6148418131530541,-2.11210772271984
ours+2GMM,5,42,4,CQCC-GMM,0.36787055441276123,0.20326558788424348,-2.11210772271984
ours+2GMM,5,42,4,LFCC-GMM,0.32918966717619325,0.1818925989627024,-2.11210772271984
ours+4base,5,42,0,timepool_T150_aug,1.030273154110877,0.5587525402249087,-2.1480146904527686
ours+4base,5,42,0,CQCC-GMM,0.41847543504311074,0.2269536107187531,-2.1480146904527686
ours+4base,5,42,0,LFCC-GMM,0.2730287385609289,0.1480728684588278,-2.1480146904527686
ours+4base,5,42,0,LFCC-LCNN,0.07511893820997687,0.040739581902476174,-2.1480146904527686
ours+4base,5,42,0,RawNet2,-0.0469846651509137,-0.0254813986950343,-2.1480146904527686
ours+4base,5,42,1,timepool_T150_aug,1.0007498106420292,0.49770012546830616,-2.187748821162689
ours+4base,5,42,1,CQCC-GMM,0.4615811421364818,0.2295568681724245,-2.187748821162689
ours+4base,5,42,1,LFCC-GMM,0.2934462004203409,0.14593878431383808,-2.187748821162689
ours+4base,5,42,1,LFCC-LCNN,0.1587809235703176,0.07896607597879242,-2.187748821162689
ours+4base,5,42,1,RawNet2,-0.09619048332087125,-0.04783814606663892,-2.187748821162689
ours+4base,5,42,2,timepool_T150_aug,1.0501382851204069,0.5361298886495296,-2.09234032581678
ours+4base,5,42,2,CQCC-GMM,0.3781981245567182,0.19308249330497057,-2.09234032581678
ours+4base,5,42,2,LFCC-GMM,0.3818694933600789,0.19495684697403184,-2.09234032581678
ours+4base,5,42,2,LFCC-LCNN,0.11257206357977118,0.0574717146943657,-2.09234032581678
ours+4base,5,42,2,RawNet2,-0.03596059161865205,-0.01835905637710235,-2.09234032581678
ours+4base,5,42,3,timepool_T150_aug,1.0934638142340682,0.5374367763783815,-2.1378693031496794
ours+4base,5,42,3,CQCC-GMM,0.4237419628681585,0.2082689080110353,-2.1378693031496794
ours+4base,5,42,3,LFCC-GMM,0.3003311174540384,0.14761255517511257,-2.1378693031496794
ours+4base,5,42,3,LFCC-LCNN,0.13304129797454536,0.06538971420715867,-2.1378693031496794
ours+4base,5,42,3,RawNet2,-0.08401240918159798,-0.04129204622831204,-2.1378693031496794
ours+4base,5,42,4,timepool_T150_aug,1.0863567833427563,0.5363760195165915,-2.120127138002316
ours+4base,5,42,4,CQCC-GMM,0.37796760377634286,0.1866171058424871,-2.120127138002316
ours+4base,5,42,4,LFCC-GMM,0.320834776107379,0.1584084370527443,-2.120127138002316
ours+4base,5,42,4,LFCC-LCNN,0.15003489462274297,0.07407798321902449,-2.120127138002316
ours+4base,5,42,4,RawNet2,-0.09017013408805906,-0.044520454369152467,-2.120127138002316
ours+all,5,42,0,timepool_T150_aug,0.8106734871144672,0.4243261006308351,-2.1801327590902067
ours+all,5,42,0,flatten_T400_aug,0.3446277245461707,0.18038648216616193,-2.1801327590902067
ours+all,5,42,0,CQCC-GMM,0.39984684741003074,0.20928950595750034,-2.1801327590902067
ours+all,5,42,0,LFCC-GMM,0.26925564549889275,0.14093491392453938,-2.1801327590902067
ours+all,5,42,0,LFCC-LCNN,0.03016748493029872,0.01579039089076026,-2.1801327590902067
ours+all,5,42,0,RawNet2,-0.05592520916441978,-0.029272606430203057,-2.1801327590902067
ours+all,5,42,1,timepool_T150_aug,0.7517796256588009,0.3633846211747719,-2.2249208993569196
ours+all,5,42,1,flatten_T400_aug,0.39375400232632063,0.19032725028430042,-2.2249208993569196
ours+all,5,42,1,CQCC-GMM,0.4324751674398539,0.2090437403779188,-2.2249208993569196
ours+all,5,42,1,LFCC-GMM,0.28665774403557,0.13856057302949185,-2.2249208993569196
ours+all,5,42,1,LFCC-LCNN,0.10121648831896642,0.04892459706153485,-2.2249208993569196
ours+all,5,42,1,RawNet2,-0.1029431741340472,-0.04975921807198207,-2.2249208993569196
ours+all,5,42,2,timepool_T150_aug,0.7802815242535066,0.38455270108190237,-2.132889915844725
ours+all,5,42,2,flatten_T400_aug,0.42056440707638754,0.20727029116171816,-2.132889915844725
ours+all,5,42,2,CQCC-GMM,0.36386568188038537,0.17932698192742272,-2.132889915844725
ours+all,5,42,2,LFCC-GMM,0.3702153032695012,0.1824563191988235,-2.132889915844725
ours+all,5,42,2,LFCC-LCNN,0.04892713145402808,0.02411316937798332,-2.132889915844725
ours+all,5,42,2,RawNet2,-0.04520860604901006,-0.02228053725214976,-2.132889915844725
ours+all,5,42,3,timepool_T150_aug,0.7685828246717812,0.36218324866126383,-2.1932580296461697
ours+all,5,42,3,flatten_T400_aug,0.5142316048879148,0.24232401147154922,-2.1932580296461697
ours+all,5,42,3,CQCC-GMM,0.3909422885511041,0.18422575103337036,-2.1932580296461697
ours+all,5,42,3,LFCC-GMM,0.2994350551335753,0.1411043254546523,-2.1932580296461697
